commence_time,home_team_name,away_team_name,spread,home_spread_odds,away_spread_odds,home_money_line_odds,away_money_line_odds,home_score,away_score
2023-04-29 18:10:00,Minnesota Twins,Kansas City Royals,-1.5,-115.00,-105.00,-230.00,190.00,2,3
2023-04-29 22:05:00,San Diego Padres,San Francisco Giants,-1.5,-105.00,-115.00,-172.00,144.00,16,11
2023-04-29 23:05:00,Texas Rangers,New York Yankees,-1.5,145.00,-170.00,-182.00,142.00,2,0
2023-04-29 23:10:00,Chicago White Sox,Tampa Bay Rays,1.5,-145.00,125.00,-230.00,178.00,3,12
2023-04-29 23:10:00,Milwaukee Brewers,Los Angeles Angels,-1.5,125.00,-145.00,-166.00,130.00,7,5
2023-04-30 01:10:00,Los Angeles Dodgers,St. Louis Cardinals,-1.5,140.00,-165.00,-156.00,132.00,1,0
2023-04-30 17:37:00,Toronto Blue Jays,Seattle Mariners,-1.5,110.00,-130.00,-168.00,142.00,8,10
2023-04-30 18:10:00,Chicago White Sox,Tampa Bay Rays,1.5,-115.00,-105.00,158.00,-188.00,12,9
2023-04-30 18:10:00,Minnesota Twins,Kansas City Royals,-1.5,100.00,-120.00,-205.00,172.00,8,4
2023-04-30 20:07:00,Oakland Athletics,Cincinnati Reds,1.5,-140.00,120.00,130.00,-154.00,5,4
2023-05-02 00:10:00,Houston Astros,San Francisco Giants,-1.5,105.00,-125.00,-198.00,166.00,7,3
2023-05-02 01:40:00,San Diego Padres,Cincinnati Reds,-1.5,-110.00,-110.00,-215.00,180.00,8,3
2023-05-02 02:10:00,Los Angeles Dodgers,Philadelphia Phillies,-1.5,125.00,-145.00,-178.00,150.00,13,4
2023-05-01 23:05:00,Washington Nationals,Chicago Cubs,1.5,-135.00,115.00,172.00,-225.00,1,5
2023-05-01 23:10:00,Boston Red Sox,Toronto Blue Jays,1.5,-135.00,115.00,138.00,-174.00,6,5
2023-05-02 23:05:00,New York Yankees,Cleveland Guardians,-1.5,120.00,-140.00,-172.00,144.00,4,2
2023-05-02 23:10:00,Chicago White Sox,Minnesota Twins,1.5,-135.00,115.00,134.00,-158.00,3,2
2023-05-03 00:10:00,Houston Astros,San Francisco Giants,-1.5,115.00,-135.00,-168.00,142.00,0,2
