commence_time,first_home_odds,first_away_odds,home_score,away_score,result
2023-08-02 16:20:00,-158.00,134.00,12,5,HOME WIN
2023-08-03 00:05:00,-156.00,132.00,16,6,HOME WIN
2023-08-03 00:05:00,-168.00,142.00,11,1,HOME WIN
2023-08-03 01:45:00,-188.00,158.00,4,2,HOME WIN
2023-08-03 19:07:00,-158.00,134.00,1,6,AWAY WIN
2023-08-04 00:05:00,-158.00,134.00,5,3,HOME WIN
2023-08-04 01:38:00,-154.00,130.00,3,5,AWAY WIN
2023-08-04 22:40:00,-188.00,158.00,3,6,AWAY WIN
2023-08-04 23:10:00,-164.00,138.00,3,7,AWAY WIN
2023-08-04 23:10:00,-168.00,142.00,4,2,HOME WIN
2023-08-05 00:05:00,-156.00,132.00,6,2,HOME WIN
2023-08-05 00:10:00,-174.00,146.00,4,8,AWAY WIN
2023-08-05 00:15:00,-190.00,160.00,4,9,AWAY WIN
2023-08-05 23:45:00,-164.00,138.00,12,1,HOME WIN
2023-08-06 00:40:00,-164.00,138.00,8,3,HOME WIN
2023-08-06 17:35:00,-158.00,134.00,2,0,HOME WIN
2023-08-06 18:10:00,-196.00,164.00,1,4,AWAY WIN
2023-08-07 23:10:00,-198.00,166.00,6,2,HOME WIN
2023-08-08 22:39:00,-172.00,144.00,4,2,HOME WIN
2023-08-08 23:10:00,-198.00,166.00,3,9,AWAY WIN
2023-08-09 00:10:00,-215.00,180.00,3,7,AWAY WIN
2023-08-09 22:40:00,-190.00,160.00,7,0,HOME WIN
2023-08-09 23:10:00,-205.00,158.00,4,3,HOME WIN
2023-08-10 22:40:00,-180.00,152.00,2,5,AWAY WIN
2023-08-11 22:39:00,-200.00,168.00,9,8,HOME WIN
2023-08-11 23:07:00,-162.00,136.00,2,6,AWAY WIN
2023-08-12 00:10:00,-188.00,158.00,11,3,HOME WIN
2023-08-12 20:10:00,-200.00,168.00,2,6,AWAY WIN
2023-08-12 23:15:00,-205.00,172.00,11,3,HOME WIN
2023-08-13 01:40:00,-158.00,134.00,0,1,AWAY WIN
2023-08-13 17:40:00,-215.00,180.00,2,9,AWAY WIN
2023-08-13 18:10:00,-164.00,138.00,1,2,AWAY WIN
2023-08-13 22:05:00,-200.00,154.00,5,6,AWAY WIN
2023-08-14 23:47:03,-210.00,176.00,7,5,HOME WIN
2023-08-15 00:05:00,-174.00,146.00,12,0,HOME WIN
2023-08-15 23:40:00,-196.00,164.00,5,3,HOME WIN
2023-08-16 00:05:00,-168.00,142.00,3,5,AWAY WIN
2023-08-16 00:05:00,-180.00,152.00,7,3,HOME WIN
2023-08-16 02:10:00,-200.00,168.00,6,2,HOME WIN
2023-08-16 17:10:00,-178.00,150.00,7,8,AWAY WIN
2023-08-16 22:44:19,-184.00,154.00,0,8,AWAY WIN
2023-08-16 23:07:00,-164.00,138.00,4,9,AWAY WIN
2023-08-17 00:05:00,-166.00,140.00,4,3,HOME WIN
2023-08-17 00:05:00,-180.00,152.00,0,2,AWAY WIN
2023-08-17 00:40:00,-166.00,140.00,5,2,HOME WIN
2023-08-18 18:20:00,-196.00,164.00,3,4,AWAY WIN
2023-08-18 23:20:00,-215.00,180.00,4,0,HOME WIN
2023-08-19 01:40:00,-184.00,154.00,4,0,HOME WIN
2023-08-19 17:05:00,-178.00,150.00,1,8,AWAY WIN
2023-08-19 18:20:00,-200.00,168.00,6,4,HOME WIN
2023-08-19 23:10:00,-164.00,138.00,3,4,AWAY WIN
2023-08-19 23:10:00,-162.00,136.00,3,10,AWAY WIN
2023-08-19 23:10:00,-178.00,150.00,4,7,AWAY WIN
2023-08-20 00:40:00,-190.00,160.00,1,8,AWAY WIN
2023-08-20 01:10:00,-188.00,158.00,3,1,HOME WIN
2023-08-20 17:05:00,-184.00,154.00,6,7,AWAY WIN
2023-08-20 18:35:00,-178.00,150.00,2,6,AWAY WIN
2023-08-22 01:40:00,-200.00,168.00,6,2,HOME WIN
2023-08-22 23:05:00,-196.00,164.00,1,2,AWAY WIN
