commence_time,first_home_odds,last_home_odds,home_line_movement,first_away_odds,last_away_odds,away_line_movement,home_score,away_score,result
2023-08-20 20:07:00,160.00,160.00,0.00,-190.00,-190.00,0.00,1,12,AWAY WIN
2023-08-23 18:10:00,172.00,172.00,0.00,-205.00,-205.00,0.00,5,4,HOME WIN
2023-08-23 23:10:00,180.00,180.00,0.00,-215.00,-215.00,0.00,1,6,AWAY WIN
2023-08-26 23:15:00,160.00,160.00,0.00,-210.00,-210.00,0.00,2,6,AWAY WIN
2023-09-04 20:07:00,168.00,168.00,0.00,-200.00,-200.00,0.00,5,6,AWAY WIN
2023-09-06 22:40:00,156.00,156.00,0.00,-200.00,-200.00,0.00,11,4,HOME WIN
2023-09-06 23:05:00,172.00,172.00,0.00,-225.00,-225.00,0.00,3,2,HOME WIN
2023-09-10 20:07:00,172.00,172.00,0.00,-205.00,-205.00,0.00,2,1,HOME WIN
2023-09-14 23:40:35,166.00,166.00,0.00,-215.00,-215.00,0.00,2,10,AWAY WIN
2023-09-16 01:40:00,172.00,172.00,0.00,-205.00,-205.00,0.00,3,8,AWAY WIN
2023-09-16 00:40:00,194.00,194.00,0.00,-240.00,-240.00,0.00,3,2,HOME WIN
2023-09-16 22:35:00,160.00,160.00,0.00,-210.00,-210.00,0.00,3,6,AWAY WIN
2023-09-22 01:40:00,158.00,158.00,0.00,-188.00,-188.00,0.00,3,7,AWAY WIN
2023-09-27 00:40:00,194.00,194.00,0.00,-235.00,-235.00,0.00,2,11,AWAY WIN
2023-09-28 00:40:00,184.00,184.00,0.00,-220.00,-220.00,0.00,2,8,AWAY WIN
2023-09-29 00:40:00,188.00,188.00,0.00,-225.00,-225.00,0.00,14,5,HOME WIN
2023-09-30 00:10:00,156.00,156.00,0.00,-186.00,-186.00,0.00,6,7,AWAY WIN
2023-09-30 22:35:00,156.00,156.00,0.00,-200.00,-200.00,0.00,3,7,AWAY WIN
2023-09-30 23:10:00,156.00,156.00,0.00,-200.00,-200.00,0.00,6,10,AWAY WIN
2024-04-13 20:10:00,166.00,166.00,0.00,-198.00,-198.00,0.00,5,1,HOME WIN
2024-04-20 20:05:00,158.00,158.00,0.00,-188.00,-188.00,0.00,5,4,HOME WIN
2024-04-21 17:35:00,164.00,164.00,0.00,-196.00,-196.00,0.00,6,0,HOME WIN
2024-04-25 20:05:00,176.00,176.00,0.00,-210.00,-210.00,0.00,1,2,AWAY WIN
2024-04-28 18:10:00,158.00,158.00,0.00,-188.00,-188.00,0.00,4,2,HOME WIN
2024-05-01 18:10:00,172.00,172.00,0.00,-205.00,-205.00,0.00,5,10,AWAY WIN
2024-05-12 17:40:00,194.00,194.00,0.00,-240.00,-240.00,0.00,7,6,HOME WIN
2024-05-14 01:45:00,180.00,180.00,0.00,-215.00,-215.00,0.00,4,6,AWAY WIN
2024-05-15 23:21:56,182.00,182.00,0.00,-240.00,-240.00,0.00,1,7,AWAY WIN
2024-05-23 22:40:00,192.00,192.00,0.00,-260.00,-260.00,0.00,1,9,AWAY WIN
2024-05-26 01:10:00,194.00,194.00,0.00,-235.00,-235.00,0.00,4,8,AWAY WIN
2024-05-26 17:35:00,176.00,176.00,0.00,-210.00,-210.00,0.00,1,8,AWAY WIN
2024-05-26 19:10:00,184.00,184.00,0.00,-220.00,-220.00,0.00,5,2,HOME WIN
2024-05-27 18:10:00,168.00,168.00,0.00,-200.00,-200.00,0.00,1,5,AWAY WIN
2024-05-29 01:45:00,164.00,164.00,0.00,-196.00,-196.00,0.00,1,0,HOME WIN
2024-06-08 20:10:00,176.00,176.00,0.00,-210.00,-210.00,0.00,6,1,HOME WIN
2024-06-08 23:41:57,194.00,194.00,0.00,-260.00,-260.00,0.00,0,8,AWAY WIN
2024-07-07 20:08:00,162.00,162.00,0.00,-194.00,-194.00,0.00,3,6,AWAY WIN
2024-07-14 18:11:00,172.00,172.00,0.00,-205.00,-205.00,0.00,4,9,AWAY WIN
2024-07-14 20:08:00,158.00,158.00,0.00,-188.00,-188.00,0.00,3,2,HOME WIN
2024-07-31 18:11:00,164.00,164.00,0.00,-196.00,-196.00,0.00,3,10,AWAY WIN
2024-08-11 17:41:00,180.00,180.00,0.00,-215.00,-215.00,0.00,7,6,HOME WIN
2024-08-14 22:41:08,190.00,190.00,0.00,-250.00,-250.00,0.00,3,2,HOME WIN
2024-08-17 17:11:00,158.00,158.00,0.00,-188.00,-188.00,0.00,4,0,HOME WIN
2024-08-18 01:39:00,188.00,188.00,0.00,-225.00,-225.00,0.00,3,11,AWAY WIN
2024-08-18 19:11:00,176.00,176.00,0.00,-210.00,-210.00,0.00,3,2,HOME WIN
2024-09-07 20:11:00,190.00,190.00,0.00,-230.00,-230.00,0.00,9,5,HOME WIN
2024-09-11 18:11:00,188.00,188.00,0.00,-225.00,-225.00,0.00,4,6,AWAY WIN
2024-09-15 20:08:00,168.00,168.00,0.00,-200.00,-200.00,0.00,4,6,AWAY WIN
2024-09-19 17:11:00,172.00,172.00,0.00,-205.00,-205.00,0.00,3,15,AWAY WIN
2024-09-19 20:41:00,176.00,176.00,0.00,-210.00,-210.00,0.00,4,20,AWAY WIN
2024-09-21 20:11:00,194.00,194.00,0.00,-235.00,-235.00,0.00,2,6,AWAY WIN
2024-09-22 17:41:00,162.00,162.00,0.00,-194.00,-194.00,0.00,4,5,AWAY WIN
2024-09-28 20:06:00,184.00,184.00,0.00,-220.00,-220.00,0.00,6,3,HOME WIN
2023-09-02 00:10:00,168.00,164.00,-4.00,-200.00,-196.00,4.00,13,2,HOME WIN
