commence_time,first_away_odds,last_away_odds,away_line_movement,first_home_odds,last_home_odds,home_line_movement,home_score,away_score,result
2024-09-17 01:38:00,154.00,166.00,12.00,-184.00,-198.00,-14.00,4,8,AWAY WIN
2023-05-14 00:10:00,140.00,150.00,10.00,-166.00,-178.00,-12.00,7,2,HOME WIN
2023-05-16 00:10:00,154.00,164.00,10.00,-184.00,-196.00,-12.00,6,4,HOME WIN
2023-06-04 23:09:59,124.00,134.00,10.00,-146.00,-172.00,-26.00,1,4,AWAY WIN
2023-07-01 01:38:00,134.00,144.00,10.00,-158.00,-172.00,-14.00,2,6,AWAY WIN
2023-07-28 23:50:00,154.00,164.00,10.00,-184.00,-215.00,-31.00,10,7,HOME WIN
2023-10-17 00:07:00,136.00,146.00,10.00,-162.00,-174.00,-12.00,5,3,HOME WIN
2024-04-27 00:05:00,136.00,146.00,10.00,-162.00,-174.00,-12.00,2,1,HOME WIN
2024-05-02 00:10:00,144.00,154.00,10.00,-172.00,-184.00,-12.00,2,3,AWAY WIN
2024-06-02 23:10:00,120.00,130.00,10.00,-142.00,-166.00,-24.00,4,5,AWAY WIN
2024-06-14 01:40:00,150.00,160.00,10.00,-178.00,-190.00,-12.00,11,1,HOME WIN
2024-06-15 01:40:00,154.00,164.00,10.00,-184.00,-196.00,-12.00,7,1,HOME WIN
2024-08-04 00:40:00,166.00,176.00,10.00,-198.00,-210.00,-12.00,3,2,HOME WIN
2024-08-20 01:41:00,128.00,138.00,10.00,-152.00,-164.00,-12.00,5,3,HOME WIN
2024-08-23 01:41:00,124.00,134.00,10.00,-146.00,-158.00,-12.00,3,8,AWAY WIN
2024-08-29 00:10:00,134.00,144.00,10.00,-158.00,-172.00,-14.00,5,3,HOME WIN
2024-09-24 01:41:00,144.00,154.00,10.00,-172.00,-184.00,-12.00,3,6,AWAY WIN
2023-04-05 01:40:00,138.00,146.00,8.00,-164.00,-174.00,-10.00,11,2,HOME WIN
2023-04-18 23:45:00,152.00,160.00,8.00,-180.00,-210.00,-30.00,7,8,AWAY WIN
2023-04-29 23:10:00,122.00,130.00,8.00,-144.00,-166.00,-22.00,7,5,HOME WIN
2023-05-06 01:40:00,152.00,160.00,8.00,-180.00,-190.00,-10.00,3,1,HOME WIN
2023-05-18 00:10:00,136.00,144.00,8.00,-162.00,-172.00,-10.00,7,6,HOME WIN
2023-06-01 00:10:00,150.00,158.00,8.00,-178.00,-188.00,-10.00,2,8,AWAY WIN
2023-06-03 02:15:00,128.00,136.00,8.00,-152.00,-162.00,-10.00,2,3,AWAY WIN
2023-06-06 01:10:00,136.00,144.00,8.00,-162.00,-172.00,-10.00,5,0,HOME WIN
2023-08-02 00:10:00,160.00,168.00,8.00,-190.00,-200.00,-10.00,2,0,HOME WIN
2023-08-18 02:10:00,122.00,130.00,8.00,-144.00,-154.00,-10.00,1,0,HOME WIN
2023-08-23 01:38:00,124.00,132.00,8.00,-146.00,-156.00,-10.00,3,4,AWAY WIN
